keywords ,_realyear ,year ,_series ,_title ,_ref_code ,_source ,id 
  ,1680,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,54b. Öfwersten Erich Dahlbergs Deseing opå Klippan Drottningeskiär. ,SE/KrA/0414/0013/0035 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0035 (1680) ",K0024329_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","86. Fuerte De Fuentes. [Fuentes (ej ident.), Italien] ",SE/KrA/0414/0025/0103 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0103 (1699) ",K0038000_00001 
  ,1623,1620,Band 28: Topographica practica (Getkant) ,"10. Pillaw Mensura. [Pillau]. [Översättning av text på kartan:. År 1623 var inloppet för skeppen på det med stjärnor *** betecknade området. År 1625 före fiendens ankomst gjordes ett inlopp på den med (ankare) betecknade platsen, men emedan det ej var tillräckligt djupt, läto fyra män i kurfurstens tjänst rensa upp det; och således förblev ett inlopp tillgängligt för sjöfarten och är det än i dag. Inloppet var knappt rensat förrän Svenskarne den 10 juli 1626 foro in där och på vardera sidan anlade de fyrkantiga fästningarna B. B., men vid västlig och nordlig vind lämnade de befästningarna, som sköljdes av de häftiga vågorna, och besatte slätten A och anlade där en femhörnig fästning med omgivande vallar. När denna var färdig, började de jämna med marken ej blott de kullar, som lågo i vägen, utan även de preussiska fästningarna Kick en deen pott och Hantene gott (så benämnda av holländarne) för att så mycket bättre kunna beskjuta de inseglande. Författaren ritade kartan år 1625 och kontrollerade den nu år 1634, då han i hemlighet var på platsen förklädd till fiskare.] ",SE/KrA/0414/0028/0011 ,"Handritade Kartverk, Band 28: Topographica practica (Getkant), SE/KrA/0414/0028/0011 (1623) ",K0024433_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",3. Ayamonte. ,SE/KrA/0414/0025/0004 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0004 (1699) ",K0037907_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",68. Planta Del Castillo De La Licata. ,SE/KrA/0414/0025/0082 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0082 (1699) ",K0037981_00001 
  ,1685,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,257. Geometrisch Plaan af Slottet och Castelet uti Riga[...] ,SE/KrA/0414/0013/0177 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0177 (1685) ",K0024371_00001 
  ,1638,1630,"Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg) ",N:o 20. Ruigenwalde. A: 1638. ,SE/KrA/0414/0021/0028 ,"Handritade Kartverk, Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg), SE/KrA/0414/0021/0028 (1638) ",K0024396_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",54. Planta De Tangere. ,SE/KrA/0414/0025/0060 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0060 (1699) ",K0037959_00001 
  ,1644,1640,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",4. Renquentro De Montijo. ,SE/KrA/0414/0025/0005 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0005 (1644) ",K0037908_00001 
  ,1695,1690,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,50b. Geometrisch Delineation af det till Flåttans Försäkring med 100 knechtar i 5 Månader anordnade separationswerket i Carlscrona. ,SE/KrA/0414/0013/0031 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0031 (1695) ",K0024325_00001 
  ,1811,1810,"Band 32: Fästningar Västkusten och Skåne (Gillberg, Boman) ",3. Ritning öfver Skansen Götha Leijon vid Götheborg. Stockholm den 24 April 1811. N: Ledergren Ritat af A. P. Boman. Lieutenant. ,SE/KrA/0414/0032/0003 ,"Handritade Kartverk, Band 32: Fästningar Västkusten och Skåne (Gillberg, Boman), SE/KrA/0414/0032/0003 (1811) ",K0038029_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",20. Planta De La Torre De Hecho. ,SE/KrA/0414/0025/0023 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0023 (1699) ",K0037923_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",29. Planta De Alcudia. ,SE/KrA/0414/0025/0033 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0033 (1699) ",K0037933_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",38. Planta De Tortosa. ,SE/KrA/0414/0025/0043 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0043 (1699) ",K0037942_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",48. Planta Del Castillo De Salcas. ,SE/KrA/0414/0025/0054 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0054 (1699) ",K0037953_00001 
  ,1636,1630,"Band 12: Svenska och utländska slott, städer och fästen (Thomé) ",No 7. Beschreibung von Pillow. Anno 1636. ,SE/KrA/0414/0012/0007 ,"Handritade Kartverk, Band 12: Svenska och utländska slott, städer och fästen (Thomé), SE/KrA/0414/0012/0007 (1636) ",K0024291_00001 
  ,1680,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,54a. Capitain Stuwardts Deseing opå Klippan Drottningeskiäär. ,SE/KrA/0414/0013/0034 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0034 (1680) ",K0024328_00001 
  ,1695,1690,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,106. Geometrisch Plaan af Staden Giöteborgh. ,SE/KrA/0414/0013/0068 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0068 (1695) ",K0036064_00001 
  ,1811,1810,"Band 32: Fästningar Västkusten och Skåne (Gillberg, Boman) ",1. Karta öfver Situationerne kring Göteborg och Bohus. Stockholm den 24 April 1811. N: Ledergren Ritad af Carl Gustaf Gillberg. ,SE/KrA/0414/0032/0001 ,"Handritade Kartverk, Band 32: Fästningar Västkusten och Skåne (Gillberg, Boman), SE/KrA/0414/0032/0001 (1811) ",K0038027_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",37. Planta De Mirabet. ,SE/KrA/0414/0025/0042 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0042 (1699) ",K0036078_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",84. Planta De Ponzon. ,SE/KrA/0414/0025/0101 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0101 (1699) ",K0037998_00001 
  ,1634,1630,Band 11: Svenska planteboken (Örnehufvud) ,39. Rehwall Anno 1634. ,SE/KrA/0414/0011/0039 ,"Handritade Kartverk, Band 11: Svenska planteboken (Örnehufvud), SE/KrA/0414/0011/0039 (1634) ",K0024277_00001 
  ,1693,1690,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,163. Delineation af Castelet Wedh Marstrandh Carlsteen. ,SE/KrA/0414/0013/0096 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0096 (1693) ",K0024352_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ","67. Fuerte Del Caricatore De Giorgente. [Giorgente (ej ident.), Italien] ",SE/KrA/0414/0025/0081 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0081 (1699) ",K0037980_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",46. Planta Del Castillo De S. Elmo De Colibri. ,SE/KrA/0414/0025/0052 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0052 (1699) ",K0037951_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",106. Planta De La Ciudad De Asti. ,SE/KrA/0414/0025/0123 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0123 (1699) ",K0038016_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",68. Perspectiva Del Castillo De La Licata. ,SE/KrA/0414/0025/0083 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0083 (1699) ",K0037982_00001 
  ,1688,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,240. Plaan af Staden och Slåttet Refwall[...] ,SE/KrA/0414/0013/0164 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0164 (1688) ",K0024361_00001 
  ,1634,1630,Band 28: Topographica practica (Getkant) ,1. Munitio Dirschoviae Recognita Anno 1634 16 octob. Schwedische Loginung wie sie Anno 1635 im dürchzug nach Pomern für Dirschaw gelegen. [Dirschau] ,SE/KrA/0414/0028/0002 ,"Handritade Kartverk, Band 28: Topographica practica (Getkant), SE/KrA/0414/0028/0002 (1634) ",K0024424_00001 
  ,1697,1690,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,48-49. Geometrisch Plaan och Delineation af Carlscrona[...] ,SE/KrA/0414/0013/0029 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0029 (1697) ",K0024323_00001 
  ,1648,1640,"Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg) ",N:o 36. Rinteln. ,SE/KrA/0414/0021/0048 ,"Handritade Kartverk, Band 21: Ut- och inländska städer, slott, fästen m.m. (Dahlberg), SE/KrA/0414/0021/0048 (1648) ",K0024399_00001 
  ,1699,1690,"Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias ",117. [Karta över Lago di Como med floden Adda till Trezzo.] ,SE/KrA/0414/0025/0134 ,"Handritade Kartverk, Band 25: Plantas de diferentets plazas de Espania, Italia, Flandes, los Indias, SE/KrA/0414/0025/0134 (1699) ",K0038026_00001 
  ,1696,1690,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,248. Geometrisch Charta öfwer Staden och festningen Refwal. ,SE/KrA/0414/0013/0172 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0172 (1696) ",K0024369_00001 
  ,1683,1680,Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg) ,180. Geometrisch Delineation af Staden och fästningen Malmöö[...] ,SE/KrA/0414/0013/0113 ,"Handritade Kartverk, Band 13: Delineationer och grundritningar fästningar och fort (Dahlberg), SE/KrA/0414/0013/0113 (1683) ",K0037885_00001 
